Stop_ID,Department,Assignment,Lat,Lon,Discretion,Race,DateTime
1023,Aspen PD,General,43.0011,-84.4232,High,White,1/23/2023 4:05
4273,Aspen PD,General,42.7876,-84.6841,High,White,11/9/2023 3:43
5506,Aspen PD,Training,43.0066,-84.5187,High,White,3/4/2023 0:15
440,Aspen PD,Crime Reduction,42.7319,-84.4728,High,White,7/5/2023 15:57
3256,Aspen PD,General,42.4432,-84.5604,High,White,8/19/2023 23:45
5294,Aspen PD,Special Focus,42.7337,-84.6682,Low,White,7/2/2023 13:19
835,Aspen PD,Crime Reduction,42.7277,-84.6686,High,Hispanic,12/10/2023 12:04
112,Aspen PD,Crime Reduction,42.6338,-84.4774,High,White,2/14/2023 15:03
3463,Aspen PD,General,43.0016,-84.7974,High,White,9/5/2023 16:45
3863,Aspen PD,General,42.6703,-84.663,High,Black,10/2/2023 21:19
4588,Aspen PD,General,42.6739,-84.6516,High,White,11/26/2023 4:44
1383,Aspen PD,General,42.7748,-84.4112,High,Black,3/6/2023 22:02
3934,Aspen PD,General,42.668,-84.6645,High,White,10/10/2023 20:16
2003,Aspen PD,General,42.5951,-84.4639,High,White,5/6/2023 14:12
2808,Aspen PD,General,42.6475,-84.5233,High,Black,7/10/2023 21:58
1838,Aspen PD,General,42.746,-84.6221,High,White,4/19/2023 23:56
2479,Aspen PD,General,42.75517953,-84.54254969,High,White,6/17/2023 0:10
361,Aspen PD,Crime Reduction,42.7327,-84.4736,High,Black,7/3/2023 21:05
3169,Aspen PD,General,42.6411,-84.6211,High,White,8/13/2023 21:56
5958,Aspen PD,Training,42.7409,-84.6742,High,Black,11/14/2023 15:24
5019,Aspen PD,General,42.683,-84.6439,High,Black,12/27/2023 22:50
3198,Aspen PD,General,42.5752,-84.82,High,White,8/15/2023 4:19
2119,Aspen PD,General,42.6655,-84.6215,High,Hispanic,5/16/2023 22:10
3652,Aspen PD,General,42.6353,-84.6228,High,White,9/16/2023 18:35
2410,Aspen PD,General,42.7747,-84.3872,High,White,6/8/2023 13:52
4467,Aspen PD,General,42.5692,-84.8267,High,White,11/22/2023 22:42
3840,Aspen PD,General,42.7407,-84.612,High,White,10/1/2023 0:03
751,Aspen PD,Crime Reduction,42.6751,-84.5928,High,White,11/13/2023 18:44
1038,Aspen PD,General,42.6775,-84.4176,High,White,1/20/2023 2:24
1530,Aspen PD,General,42.6703,-84.3615,High,White,3/20/2023 23:43
2106,Aspen PD,General,42.681,-84.4322,High,Black,5/14/2023 18:56
3673,Aspen PD,General,42.7888,-84.3762,High,White,9/17/2023 22:51
1637,Aspen PD,General,42.6818,-84.4323,High,Black,4/1/2023 18:22
403,Aspen PD,Crime Reduction,42.6783,-84.4223,Low,White,7/4/2023 15:25
435,Aspen PD,Crime Reduction,42.5822,-84.4528,High,White,7/8/2023 13:41
4445,Aspen PD,General,42.6406,-84.456,High,Unknown,11/24/2023 23:30
4270,Aspen PD,General,42.7842,-84.4162,High,White,11/10/2023 12:49
4912,Aspen PD,General,42.7405,-84.6484,High,Black,12/16/2023 13:19
5714,Aspen PD,Training,42.5998,-84.622,High,Hispanic,4/20/2023 13:14
1797,Aspen PD,General,42.9207,-84.5189,High,White,4/14/2023 18:57
5641,Aspen PD,Training,42.6806,-84.5381,High,Black,4/1/2023 2:41
1232,Aspen PD,General,42.7694,-84.5423,High,White,2/16/2023 21:04
4300,Aspen PD,General,42.5191,-84.6534,High,Black,11/10/2023 22:16
5634,Aspen PD,Training,42.6657,-84.2858,High,White,4/3/2023 21:28
1929,Aspen PD,General,42.5196,-84.6551,High,White,4/29/2023 2:57
1585,Aspen PD,General,42.7339,-84.5021,High,Black,3/28/2023 2:43
3962,Aspen PD,General,42.6769,-84.4025,Low,Hispanic,10/16/2023 22:44
606,Aspen PD,Crime Reduction,42.6543,-84.1983,High,White,8/17/2023 20:53
1359,Aspen PD,General,42.7414,-84.6767,High,White,3/3/2023 20:19
1083,Aspen PD,General,42.7897,-84.3748,High,Black,1/25/2023 1:42
5446,Aspen PD,Training,42.6586,-84.5363,High,White,2/20/2023 0:12
5586,Aspen PD,Training,42.6257,-84.4758,High,White,3/22/2023 10:10
1400,Aspen PD,General,42.6813,-84.6791,High,White,3/5/2023 23:28
156,Aspen PD,Crime Reduction,42.6766,-84.5384,High,Black,3/3/2023 20:48
4500,Aspen PD,General,42.7365,-84.7394,High,White,11/24/2023 14:23
5820,Aspen PD,Training,42.7987,-84.7393,High,White,6/3/2023 22:25
3710,Aspen PD,General,42.6253,-84.6591,High,White,9/19/2023 4:43
3615,Aspen PD,General,42.5856,-84.6222,Low,White,9/10/2023 19:15
4077,Aspen PD,General,42.6651,-84.2947,High,White,10/23/2023 16:07
1177,Aspen PD,General,42.665,-84.5349,High,White,2/4/2023 4:44
1164,Aspen PD,General,42.7489,-84.5474,High,Black,2/5/2023 4:01
463,Aspen PD,Crime Reduction,42.7228,-84.5936,Low,White,7/12/2023 8:49
4673,Aspen PD,General,42.553,-84.8212,High,White,11/25/2023 7:34
4575,Aspen PD,General,42.6572,-84.6853,Low,White,11/27/2023 14:34
4274,Aspen PD,General,42.665,-84.6618,High,White,11/11/2023 15:50
5717,Aspen PD,Training,42.6773,-84.4047,High,White,4/18/2023 20:58
4193,Aspen PD,General,42.5673,-84.8261,High,White,11/5/2023 18:48
3639,Aspen PD,General,42.7924,-84.3698,Low,White,9/14/2023 18:27
1151,Aspen PD,General,42.6463,-84.5241,High,Black,2/4/2023 21:40
2298,Aspen PD,General,42.553,-84.625,Low,White,6/2/2023 10:33
1691,Aspen PD,General,42.7393,-84.6806,High,White,4/1/2023 20:48
4304,Aspen PD,General,42.9818,-84.5426,High,White,11/12/2023 13:22
4422,Aspen PD,General,42.7758,-84.6246,High,White,11/21/2023 8:39
1529,Aspen PD,General,42.8278,-84.5406,High,White,3/21/2023 20:46
3780,Aspen PD,General,42.5765,-84.8178,High,Black,9/29/2023 22:14
4962,Aspen PD,General,42.6625,-84.4737,High,White,12/18/2023 7:41
5232,Aspen PD,Special Focus,42.776,-84.4105,High,White,5/8/2023 22:08
68,Aspen PD,Crime Reduction,42.7388,-84.6683,Low,Black,2/4/2023 17:30
5463,Aspen PD,Training,42.7984,-84.7092,High,White,2/25/2023 16:25
2325,Aspen PD,General,42.6473,-84.6991,High,White,5/31/2023 7:01
728,Aspen PD,Crime Reduction,42.8427,-84.5952,Low,White,10/6/2023 0:19
2835,Aspen PD,General,42.776,-84.5419,High,White,7/11/2023 21:02
2614,Aspen PD,General,42.6724,-84.6461,High,White,6/30/2023 23:38
4497,Aspen PD,General,42.6229,-84.7356,High,White,11/23/2023 13:34
3375,Aspen PD,General,42.5731,-84.8225,High,White,8/30/2023 0:20
1655,Aspen PD,General,42.6655,-84.6818,High,White,4/1/2023 11:56
2637,Aspen PD,General,42.582,-84.8,High,White,7/1/2023 10:30
3011,Aspen PD,General,42.6714,-84.5798,High,Black,8/3/2023 2:53
4521,Aspen PD,General,42.5536,-84.8162,High,White,11/24/2023 7:16
2232,Aspen PD,General,42.8,-84.5424,High,White,5/28/2023 20:27
1968,Aspen PD,General,42.7271,-84.6212,High,White,4/29/2023 21:30
3650,Aspen PD,General,42.6731,-84.6417,High,White,9/15/2023 18:05
3354,Aspen PD,General,42.6102,-84.1941,High,White,8/30/2023 10:10
1944,Aspen PD,General,42.7686,-84.5987,High,Black,4/30/2023 22:49
6,Aspen PD,Crime Reduction,42.9158,-84.0367,Low,Black,1/6/2023 19:29
5362,Aspen PD,Special Focus,42.6609,-84.6831,High,Unknown,11/27/2023 22:22
447,Aspen PD,Crime Reduction,42.676,-84.3963,High,Hispanic,7/9/2023 22:25
5965,Aspen PD,Training,42.6258,-84.7346,High,White,11/27/2023 8:43
5069,Aspen PD,General,42.5602,-84.835,High,White,12/29/2023 10:31
764,Aspen PD,Crime Reduction,42.6687,-84.5433,High,White,11/20/2023 21:21
3147,Aspen PD,General,42.6779,-84.4067,High,Black,8/13/2023 3:49
5744,Aspen PD,Training,42.5046,-84.8425,High,White,4/23/2023 0:14
5574,Aspen PD,Training,42.6271,-84.4751,High,White,3/19/2023 9:25
5585,Aspen PD,Training,42.6786,-84.4289,High,Black,3/22/2023 2:12
3128,Aspen PD,General,42.6244,-84.7373,High,White,8/8/2023 1:40
3032,Aspen PD,General,42.5724,-84.6226,Low,Black,8/3/2023 16:00
4191,Aspen PD,General,42.5683,-84.4146,High,White,11/1/2023 17:31
1534,Aspen PD,General,42.895,-84.5432,High,White,3/19/2023 15:10
4320,Aspen PD,General,42.6973,-84.5956,High,Black,11/13/2023 4:57
203,Aspen PD,Crime Reduction,42.6893,-84.5675,High,Black,4/8/2023 21:34
3819,Aspen PD,General,42.7951,-84.4482,High,White,9/27/2023 21:55
1411,Aspen PD,General,42.718,-84.4899,High,Black,3/4/2023 2:30
1146,Aspen PD,General,42.6829,-84.516,High,Black,2/6/2023 23:21
2079,Aspen PD,General,42.7148,-84.6687,High,Black,5/12/2023 23:31
976,Aspen PD,General,42.656,-84.5335,High,White,1/15/2023 11:28
5706,Aspen PD,Training,42.7021,-84.6696,Low,White,4/16/2023 8:27
4534,Aspen PD,General,42.6253,-84.6506,High,White,11/22/2023 20:28
1977,Aspen PD,General,42.7117,-84.6367,High,Black,5/4/2023 1:36
2299,Aspen PD,General,42.6779,-84.4243,High,Black,5/29/2023 22:39
4640,Aspen PD,General,42.5559,-84.8363,High,White,11/24/2023 20:08
2564,Aspen PD,General,42.6658,-84.6233,High,White,6/24/2023 13:31
4113,Aspen PD,General,42.6403,-84.4339,High,White,10/28/2023 20:50
3284,Aspen PD,General,42.5675,-84.8214,High,White,8/22/2023 0:39
1954,Aspen PD,General,42.7753,-84.6207,High,White,5/2/2023 19:24
166,Aspen PD,Crime Reduction,42.6775,-84.5639,Low,Black,3/4/2023 15:56
2221,Aspen PD,General,42.6807,-84.4327,High,White,5/28/2023 1:10
3633,Aspen PD,General,42.7768,-84.4104,Low,Black,9/10/2023 20:29
5878,Aspen PD,Training,42.7377,-84.5085,Low,Black,7/16/2023 1:39
2248,Aspen PD,General,42.7061,-84.6035,High,White,5/29/2023 2:23
27,Aspen PD,Crime Reduction,42.756,-84.8002,High,White,1/24/2023 12:59
4343,Aspen PD,General,42.7762,-84.4026,High,White,11/12/2023 14:37
4483,Aspen PD,General,42.6095,-84.4734,High,Hispanic,11/24/2023 8:13
201,Aspen PD,Crime Reduction,42.6665,-84.5424,High,Black,4/7/2023 20:48
5917,Aspen PD,Training,42.6887,-84.4992,High,Black,8/27/2023 21:13
4398,Aspen PD,General,42.5669,-84.8289,High,White,11/16/2023 23:01
1373,Aspen PD,General,42.6682,-84.6616,High,White,3/2/2023 7:41
5859,Aspen PD,Training,42.7882,-84.3765,High,White,6/23/2023 1:14
5437,Aspen PD,Training,42.6782,-84.4734,High,White,2/18/2023 8:27
3675,Aspen PD,General,42.7807,-84.4002,High,White,9/16/2023 23:36
3925,Aspen PD,General,42.7699,-84.5436,Low,White,10/10/2023 0:51
4121,Aspen PD,General,42.6568,-84.5342,High,White,10/30/2023 2:23
2065,Aspen PD,General,42.813,-84.5448,Low,White,5/11/2023 11:58
5513,Aspen PD,Training,42.6707,-84.5052,High,White,3/1/2023 19:53
4202,Aspen PD,General,42.6393,-84.4784,Low,Hispanic,11/2/2023 21:03
1178,Aspen PD,General,42.6535,-84.5314,High,White,2/4/2023 5:15
5679,Aspen PD,Training,42.5786,-84.8366,High,White,4/16/2023 11:48
3512,Aspen PD,General,42.7755,-84.5145,Low,White,9/5/2023 5:04
3390,Aspen PD,General,43.0245,-84.5366,High,White,8/30/2023 15:12
5257,Aspen PD,Special Focus,42.5919,-84.7943,Low,White,6/13/2023 8:21
1724,Aspen PD,General,42.6808,-84.4331,High,Black,4/6/2023 22:31
4449,Aspen PD,General,42.6829,-84.4289,High,White,11/22/2023 1:03
945,Aspen PD,General,42.6678,-84.5439,High,Black,1/9/2023 1:49
5508,Aspen PD,Training,43.0261,-84.559,High,White,3/1/2023 2:08
2744,Aspen PD,General,42.7046,-84.7399,High,White,7/4/2023 9:20
2005,Aspen PD,General,42.6397,-84.4342,Low,Unknown,5/5/2023 4:50
5354,Aspen PD,Special Focus,42.7324,-84.6681,Low,White,11/10/2023 17:14
2668,Aspen PD,General,42.5797,-84.8467,High,Black,7/4/2023 19:16
4131,Aspen PD,General,42.6093,-84.6218,Low,White,10/31/2023 3:38
871,Aspen PD,Crime Reduction,42.5282,-84.7063,High,White,12/13/2023 19:38
1500,Aspen PD,General,42.6756,-84.3994,High,White,3/20/2023 23:52
5419,Aspen PD,Training,42.7806,-84.4095,High,White,2/3/2023 1:53
1864,Aspen PD,General,42.5588,-84.8407,High,White,4/22/2023 0:49
716,Aspen PD,Crime Reduction,42.6923,-84.572,High,Black,9/26/2023 22:23
2951,Aspen PD,General,42.5549,-84.836,Low,White,7/27/2023 15:23
5940,Aspen PD,Training,42.5493,-84.377,High,White,9/24/2023 11:52
3564,Aspen PD,General,42.6604,-84.5382,High,White,9/5/2023 4:41
4481,Aspen PD,General,42.5302,-84.6409,High,Black,11/23/2023 6:50
466,Aspen PD,Crime Reduction,42.679,-84.5239,High,White,7/16/2023 22:43
1341,Aspen PD,General,42.7587,-84.603,High,White,3/2/2023 21:59
4152,Aspen PD,General,42.6785,-84.4401,High,Black,10/30/2023 18:42
2282,Aspen PD,General,42.6656,-84.314,High,Hispanic,5/29/2023 16:12
62,Aspen PD,Crime Reduction,42.6958,-84.5629,High,Black,2/2/2023 21:44
2585,Aspen PD,General,42.6453,-84.5231,High,Black,6/30/2023 3:24
3156,Aspen PD,General,42.5826,-84.8108,High,White,8/13/2023 2:39
3248,Aspen PD,General,42.7818,-84.5428,High,White,8/19/2023 19:37
3524,Aspen PD,General,43.0014,-84.5152,High,White,9/5/2023 9:06
3749,Aspen PD,General,42.5983,-84.7808,High,Black,9/22/2023 22:11
687,Aspen PD,Crime Reduction,42.6677,-84.512,High,Unknown,9/4/2023 19:22
1428,Aspen PD,General,42.5737,-84.8222,High,White,3/7/2023 7:19
1973,Aspen PD,General,42.5547,-84.8357,High,White,4/30/2023 23:52
1246,Aspen PD,General,42.4528,-84.1882,Low,White,2/14/2023 0:23
1726,Aspen PD,General,42.7243,-84.5185,High,Black,4/8/2023 23:50
2336,Aspen PD,General,42.6662,-84.6037,High,Unknown,6/3/2023 3:48
5039,Aspen PD,General,42.6965,-84.6033,High,White,12/27/2023 3:08
4668,Aspen PD,General,42.6033,-84.7727,High,White,11/29/2023 18:57
1886,Aspen PD,General,42.5389,-84.8358,Low,White,4/24/2023 21:37
1822,Aspen PD,General,42.6777,-84.654,Low,White,4/16/2023 9:04
1665,Aspen PD,General,42.7717,-84.4856,Low,Black,4/1/2023 0:55
4116,Aspen PD,General,42.6475,-84.5206,High,Black,10/29/2023 0:32
3292,Aspen PD,General,42.8012,-84.4598,High,White,8/27/2023 0:11
4566,Aspen PD,General,42.5657,-84.8301,High,White,11/27/2023 0:59
3514,Aspen PD,General,42.8279,-84.5535,High,Black,9/3/2023 18:30
2872,Aspen PD,General,42.7821,-84.4093,High,White,7/18/2023 23:00
1027,Aspen PD,General,42.6753,-84.3924,Low,Black,1/21/2023 20:40
3109,Aspen PD,General,42.815,-84.5115,High,Black,8/9/2023 22:06
3213,Aspen PD,General,42.9068,-84.5175,High,Unknown,8/16/2023 23:43
1237,Aspen PD,General,42.6666,-84.3182,High,Hispanic,2/15/2023 13:20
5542,Aspen PD,Training,42.666,-84.2248,High,White,3/13/2023 22:20
694,Aspen PD,Crime Reduction,42.6778,-84.4245,High,White,9/7/2023 20:58
942,Aspen PD,General,42.7874,-84.3794,High,White,1/9/2023 1:11
2579,Aspen PD,General,42.6411,-84.4794,Low,White,6/29/2023 18:52
3450,Aspen PD,General,42.6506,-84.2809,Low,White,9/2/2023 1:00
3018,Aspen PD,General,42.7231,-84.6683,High,White,8/1/2023 2:52
928,Aspen PD,General,42.7815,-84.4004,High,Black,1/10/2023 23:34
5031,Aspen PD,General,42.7571,-84.549,High,Black,12/30/2023 0:36
98,Aspen PD,Crime Reduction,42.6775,-84.4642,Low,Black,2/15/2023 18:12
4183,Aspen PD,General,42.742,-84.607,High,Black,11/1/2023 22:26
5191,Aspen PD,Special Focus,42.7121,-84.6076,High,Black,3/19/2023 12:40
4479,Aspen PD,General,42.754,-84.5432,High,White,11/22/2023 3:48
1548,Aspen PD,General,42.7342,-84.4787,High,White,3/22/2023 0:36
517,Aspen PD,Crime Reduction,42.6513,-84.5289,High,White,7/29/2023 10:57
2733,Aspen PD,General,42.6652,-84.6087,Low,Hispanic,7/3/2023 18:39
1408,Aspen PD,General,42.8022,-84.3377,High,White,3/7/2023 2:02
5277,Aspen PD,Special Focus,42.762,-84.5827,Low,Black,6/27/2023 16:27
1208,Aspen PD,General,42.8128,-84.5436,High,Black,2/12/2023 22:57
4865,Aspen PD,General,42.7035,-84.6696,Low,White,12/12/2023 0:31
5037,Aspen PD,General,42.7501,-84.5443,High,Black,12/28/2023 2:16
875,Aspen PD,Crime Reduction,42.6831,-84.5813,High,Black,12/20/2023 23:11
936,Aspen PD,General,42.8143,-84.5802,Low,White,1/9/2023 21:20
3942,Aspen PD,General,42.7909,-84.3728,High,Black,10/11/2023 3:00
4368,Aspen PD,General,42.7545,-84.557,High,Black,11/17/2023 23:00
4377,Aspen PD,General,42.6516,-84.5299,High,Black,11/17/2023 19:54
3791,Aspen PD,General,42.7678,-84.5432,High,White,9/28/2023 20:09
3307,Aspen PD,General,42.7559,-84.8176,Low,White,8/26/2023 22:29
4288,Aspen PD,General,42.5533,-84.839,High,White,11/10/2023 3:23
3983,Aspen PD,General,42.6654,-84.2999,Low,White,10/16/2023 14:32
4195,Aspen PD,General,43.0149,-84.5562,High,White,11/1/2023 19:15
973,Aspen PD,General,42.6855,-84.2655,High,White,1/13/2023 19:55
3778,Aspen PD,General,42.6043,-84.7696,High,White,9/28/2023 21:36
100,Aspen PD,Crime Reduction,42.5739,-84.6221,Low,Hispanic,2/14/2023 18:44
2353,Aspen PD,General,42.6466,-84.5225,High,Black,6/5/2023 0:45
909,Aspen PD,General,42.6702,-84.5385,High,White,1/6/2023 4:25
3081,Aspen PD,General,42.6774,-84.421,High,White,8/7/2023 0:17
2593,Aspen PD,General,42.8008,-84.7402,Low,White,6/30/2023 21:37
322,Aspen PD,Crime Reduction,42.5637,-84.192,High,White,6/5/2023 17:05
5238,Aspen PD,Special Focus,42.8108,-84.782,Low,Black,5/24/2023 2:06
2937,Aspen PD,General,42.7698,-84.5426,High,Black,7/23/2023 23:17
1748,Aspen PD,General,42.6325,-84.6229,High,White,4/12/2023 11:57
472,Aspen PD,Crime Reduction,42.735,-84.5365,High,Black,7/14/2023 23:48
4174,Aspen PD,General,42.781,-84.5427,High,White,11/2/2023 19:14
1720,Aspen PD,General,42.6783,-84.4955,High,White,4/5/2023 18:12
1915,Aspen PD,General,42.8389,-84.5427,High,White,4/28/2023 13:48
4992,Aspen PD,General,42.6703,-84.6607,High,White,12/21/2023 16:52
2548,Aspen PD,General,42.5062,-84.6567,High,White,6/21/2023 0:04
3697,Aspen PD,General,42.6788,-84.4467,High,White,9/17/2023 4:31
4333,Aspen PD,General,42.667,-84.5233,High,White,11/15/2023 10:04
258,Aspen PD,Crime Reduction,42.7432,-84.4716,High,Unknown,5/19/2023 17:19
3627,Aspen PD,General,42.6884,-84.6666,Low,White,9/11/2023 19:06
5173,Aspen PD,Special Focus,42.7065,-84.6689,Low,Unknown,1/28/2023 17:47
3773,Aspen PD,General,42.7442,-84.3045,High,White,9/26/2023 6:36
3174,Aspen PD,General,43.0003,-84.473,High,White,8/14/2023 2:22
5742,Aspen PD,Training,42.7349,-84.4882,High,Black,4/21/2023 21:18
3305,Aspen PD,General,42.4396,-84.7698,High,White,8/28/2023 22:19
5954,Aspen PD,Training,42.6855,-84.5679,High,Unknown,11/17/2023 10:40
2908,Aspen PD,General,42.6664,-84.5379,High,White,7/18/2023 4:51
3928,Aspen PD,General,42.7121,-84.6391,High,Black,10/11/2023 4:15
452,Aspen PD,Crime Reduction,42.6654,-84.2707,High,White,7/10/2023 0:52
1179,Aspen PD,General,42.7804,-84.5429,High,White,2/5/2023 19:03
2997,Aspen PD,General,42.6777,-84.4142,High,Black,8/2/2023 22:28
5243,Aspen PD,Special Focus,42.7385,-84.6613,High,White,5/25/2023 20:18
4889,Aspen PD,General,42.6877,-84.2976,High,Black,12/11/2023 12:02
5264,Aspen PD,Special Focus,42.7387,-84.6682,Low,White,6/16/2023 8:26
3055,Aspen PD,General,42.8173,-84.5663,High,Black,8/6/2023 22:18
2962,Aspen PD,General,42.6264,-84.8623,High,White,7/27/2023 0:43
3895,Aspen PD,General,42.5942,-84.1937,High,White,10/5/2023 8:27
999,Aspen PD,General,42.6598,-84.5365,High,White,1/18/2023 0:17
5460,Aspen PD,Training,43.0137,-84.5582,High,White,2/24/2023 12:57
5843,Aspen PD,Training,42.625,-84.3662,High,Black,6/13/2023 21:37
3542,Aspen PD,General,42.6687,-84.3567,Low,White,9/7/2023 1:39
2235,Aspen PD,General,42.5715,-84.8248,High,Hispanic,5/26/2023 21:09
5473,Aspen PD,Training,42.5822,-84.4598,High,Black,2/28/2023 16:01
3154,Aspen PD,General,42.7339,-84.5525,High,Black,8/14/2023 1:41
1475,Aspen PD,General,42.7206,-84.6682,High,White,3/17/2023 19:21
5727,Aspen PD,Training,42.6658,-84.5855,High,Black,4/23/2023 4:56
620,Aspen PD,Crime Reduction,42.6518,-84.5292,High,White,8/16/2023 1:17
1990,Aspen PD,General,42.58,-84.847,None,White,5/3/2023 19:02
3385,Aspen PD,General,42.8413,-84.5698,High,White,9/2/2023 13:02
529,Aspen PD,Crime Reduction,42.6777,-84.4558,Low,White,7/29/2023 21:11
5329,Aspen PD,Special Focus,42.6832,-84.4297,High,White,9/15/2023 22:30
1768,Aspen PD,General,42.6866,-84.6031,High,Black,4/13/2023 18:40
2899,Aspen PD,General,43.0008,-84.3961,High,White,7/21/2023 8:13
336,Aspen PD,Crime Reduction,42.6916,-84.5631,High,White,6/21/2023 14:22
3155,Aspen PD,General,42.7269,-84.5936,High,White,8/10/2023 1:48
1486,Aspen PD,General,42.5537,-84.839,High,White,3/17/2023 2:30
4255,Aspen PD,General,42.7649,-84.5429,High,Black,11/10/2023 18:49
